Year,Residence,Origin,Refugees,Asylum,Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total
#date+year,#country+residence,#country+origin,#affected+refugees,#affected+asylum,#affected+returned_refugees,#affected+idps,#affected+returned_idps,#affected+stateless,#affected+others,#affected+total
2014,Japan,Uganda,,36,,,,,,36
2014,Jordan,Uganda,1,,,,,,,1
2014,Kenya,Uganda,591,808,1,,,,,1400
2014,Lesotho,Uganda,3,,,,,,,3
2014,Liberia,Uganda,1,,,,,,,1
2014,Luxembourg,Uganda,,3,,,,,,3
2014,Malawi,Uganda,,1,,,,,,1
2014,Malaysia,Uganda,1,1,,,,,,2
2014,Morocco,Uganda,,3,,,,,,3
2014,Mozambique,Uganda,3,22,,,,,,25
2014,Namibia,Uganda,5,2,,,,,,7
2014,Netherlands,Uganda,453,39,,,,,,492
2014,New Zealand,Uganda,2,1,,,,,,3
2014,Norway,Uganda,101,36,,,,,,137
2014,Pakistan,Uganda,1,,,,,,,1
2014,Papua New Guinea,Uganda,1,,,,,,,1
2014,Peru,Uganda,1,,,,,,,1
2014,Philippines,Uganda,5,,,,,,,5
2014,Poland,Uganda,4,2,,,,,,6
2014,Portugal,Uganda,3,,,,,,,3
2014,Rep. of Korea,Uganda,23,124,,,,,,147
2014,Romania,Uganda,,,,,,,,0
2014,Rwanda,Uganda,5,,,,,,,5
2014,Saudi Arabia,Uganda,,1,,,,,,1
2014,Serbia and Kosovo (S/RES/1244 (1999)),Uganda,,1,,,,,,1
2014,Slovakia,Uganda,,,,,,,,0
2014,Somalia,Uganda,2,1,,,,,,3
2014,South Africa,Uganda,696,1762,,,,,,2458
2014,South Sudan,Uganda,,,,,,,,0
2014,Spain,Uganda,,3,,,,,,3
2014,Sudan,Uganda,2,,,,,,,2
2014,Swaziland,Uganda,5,1,,,,,,6
2014,Sweden,Uganda,522,165,,,,,,687
2014,Switzerland,Uganda,30,23,,,,,,53
2014,Thailand,Uganda,,2,,,,,,2
2014,Trinidad and Tobago,Uganda,,2,,,,,,2
2014,Turkey,Uganda,23,429,,,,,,452
2014,Uganda,Uganda,,,,,,,180000,180000
2014,Ukraine,Uganda,1,10,,,,,,11
2014,United Kingdom,Uganda,878,249,,,,,,1127
2014,United States of America,Uganda,1178,581,,,,,,1759
2014,Vanuatu,Uganda,,1,,,,,,1
2014,Yemen,Uganda,,,,,,,,0
2014,Zambia,Uganda,105,10,,,,,,115
2014,Zimbabwe,Uganda,8,4,,,,,,12
2015,Angola,Uganda,6,6,,,,,,12
2015,Australia,Uganda,50,35,,,,,,85
2015,Austria,Uganda,16,27,,,,,,43
2015,Belgium,Uganda,27,6,,,,,,33
2015,Botswana,Uganda,22,,,,,,,22
2015,Brazil,Uganda,2,8,,,,,,10
2015,Bulgaria,Uganda,1,2,,,,,,3
2015,Burundi,Uganda,1,1,,,,,,2
2015,Cameroon,Uganda,2,1,,,,,,3
2015,Canada,Uganda,713,54,,,,,,767
2015,Central African Rep.,Uganda,4,,,,,,,4
2015,Chile,Uganda,,1,,,,,,1
2015,China,Uganda,1,54,,,,,,55
2015,"China, Hong Kong SAR",Uganda,5,28,,,,,,33
2015,Congo,Uganda,1,,,,,,1,2
2015,Costa Rica,Uganda,,1,,,,,,1
2015,Croatia,Uganda,3,,,,,,,3
2015,Czech Rep.,Uganda,4,,,,,,,4
2015,Cote d'Ivoire,Uganda,1,1,,,,,,2
2015,Dem. Rep. of the Congo,Uganda,26,3,1191,,,,,1220
2015,Denmark,Uganda,62,15,,,,,,77
2015,Ecuador,Uganda,1,,,,,,,1
2015,Egypt,Uganda,9,31,,,,,,40
2015,Estonia,Uganda,1,,,,,,,1
2015,Ethiopia,Uganda,23,4,,,,,,27
2015,Finland,Uganda,12,4,,,,,,16
2015,France,Uganda,100,23,,,,,,123
2015,Germany,Uganda,112,205,,,,,,317
2015,Ghana,Uganda,7,2,,,,,,9
2015,Greece,Uganda,13,8,,,,,,21
2015,Guinea,Uganda,3,,,,,,,3
2015,Hungary,Uganda,6,16,,,,,,22
2015,India,Uganda,,5,,,,,,5
2015,Indonesia,Uganda,1,,,,,,,1
2015,Iraq,Uganda,,1,,,,,,1
2015,Ireland,Uganda,41,14,,,,,,55
2015,Italy,Uganda,52,7,,,,,,59
2015,Japan,Uganda,,107,,,,,,107
2015,Jordan,Uganda,1,1,,,,,,2
2015,Kenya,Uganda,637,1270,,,,,,1907
2015,Lesotho,Uganda,3,,,,,,,3
2015,Liberia,Uganda,1,,,,,,,1
2015,Luxembourg,Uganda,,5,,,,,,5
2015,Malawi,Uganda,,3,,,,,,3
2015,Malaysia,Uganda,,1,,,,,,1
2015,Morocco,Uganda,,1,,,,,,1
2015,Mozambique,Uganda,3,27,,,,,,30
2015,Namibia,Uganda,4,3,,,,,,7
2015,Netherlands,Uganda,492,59,,,,,,551
2015,New Zealand,Uganda,1,6,,,,,,7
2015,Norway,Uganda,114,22,,,,,,136
2015,Pakistan,Uganda,1,,,,,,,1
2015,Papua New Guinea,Uganda,1,,,,,,,1
2015,Peru,Uganda,1,,,,,,,1
2015,Poland,Uganda,4,2,,,,,,6
2015,Portugal,Uganda,3,,,,,,,3
2015,Rep. of Korea,Uganda,24,138,,,,,,162
2015,Russian Federation,Uganda,,,1,,,,,1
2015,Rwanda,Uganda,4,,,,,,1,5
2015,Senegal,Uganda,,1,,,,,,1
2015,Slovakia,Uganda,7,,,,,,,7
2015,Somalia,Uganda,2,1,,,,,,3
2015,South Africa,Uganda,729,2517,,,,,,3246
2015,South Sudan,Uganda,,1,,,,,,1
2015,Spain,Uganda,,5,,,,,,5
2015,Sudan,Uganda,3,,,,,,,3
2015,Swaziland,Uganda,6,1,,,,,,7
2015,Sweden,Uganda,578,149,,,,,,727
2015,Switzerland,Uganda,35,20,,,,,,55
2015,Thailand,Uganda,1,,,,,,,1
2015,Turkey,Uganda,22,428,,,,,,450
2015,Uganda,Uganda,,,,,,,180000,180000
2015,Ukraine,Uganda,1,10,,,,,,11
2015,United Kingdom,Uganda,966,247,,,,,,1213
2015,United States of America,Uganda,1231,850,,,,,,2081
2015,Vanuatu,Uganda,,1,,,,,,1
2015,Zambia,Uganda,105,4,,,,,,109
2015,Zimbabwe,Uganda,8,,,,,,1,9
2016,Angola,Uganda,6,6,,,,,,12
2016,Australia,Uganda,62,28,,,,,,90
2016,Austria,Uganda,16,28,,,,,,44
2016,Belgium,Uganda,20,11,,,,,,31
2016,Botswana,Uganda,22,,,,,,,22
2016,Brazil,Uganda,5,6,,,,,,11
2016,Bulgaria,Uganda,1,,,,,,,1
2016,Burundi,Uganda,6,,,,,,,6
2016,Cameroon,Uganda,1,,,,,,,1
2016,Canada,Uganda,486,91,,,,,,577
2016,Central African Rep.,Uganda,5,,,,,,,5
2016,Chile,Uganda,,1,,,,,,1
2016,China,Uganda,1,45,,,,,,46
2016,"China, Hong Kong SAR",Uganda,5,,,,,,,5
2016,Congo,Uganda,1,,,,,,1,2
2016,Costa Rica,Uganda,,1,,,,,,1
2016,Croatia,Uganda,3,,,,,,,3
2016,Czech Rep.,Uganda,4,,,,,,,4
2016,Cote d'Ivoire,Uganda,,1,,,,,,1
2016,Dem. Rep. of the Congo,Uganda,24,3,,,,,,27
2016,Denmark,Uganda,69,35,,,,,,104
2016,Egypt,Uganda,8,17,,,,,,25
2016,Estonia,Uganda,1,,,,,,,1
2016,Ethiopia,Uganda,23,5,,,,,,28
2016,Finland,Uganda,24,5,,,,,,29
2016,France,Uganda,109,9,,,,,,118
2016,Germany,Uganda,115,294,,,,,,409
2016,Ghana,Uganda,6,1,,,,,,7
2016,Greece,Uganda,18,34,,,,,,52
2016,Guinea,Uganda,1,,,,,,,1
2016,Hungary,Uganda,6,,,,,,,6
2016,India,Uganda,,6,,,,,,6
2016,Indonesia,Uganda,1,1,,,,,,2
2016,Iraq,Uganda,,1,,,,,,1
2016,Ireland,Uganda,40,14,,,,,,54
2016,Italy,Uganda,66,12,,,,,,78
2016,Japan,Uganda,,54,,,,,,54
2016,Jordan,Uganda,1,,,,,,,1
2016,Kenya,Uganda,631,1339,,,,,,1970
2016,Lesotho,Uganda,3,3,,,,,,6
2016,Liberia,Uganda,1,,,,,,,1
2016,Luxembourg,Uganda,1,3,,,,,,4
2016,Malawi,Uganda,,8,,,,,,8
2016,Malaysia,Uganda,,3,,,,,,3
2016,Mozambique,Uganda,2,13,,,,,,15
2016,Namibia,Uganda,5,6,,,,,,11
2016,Netherlands,Uganda,504,84,,,,,,588
2016,New Zealand,Uganda,3,,,,,,,3
2016,Norway,Uganda,120,11,,,,,,131
2016,Pakistan,Uganda,1,,,,,,,1
2016,Papua New Guinea,Uganda,1,,,,,,,1
2016,Peru,Uganda,1,,,,,,,1
2016,Poland,Uganda,6,3,,,,,,9
2016,Portugal,Uganda,3,,,,,,,3
2016,Rep. of Korea,Uganda,27,148,,,,,,175
2016,Rwanda,Uganda,5,,,,,,,5
2016,Senegal,Uganda,,1,,,,,,1
2016,Slovakia,Uganda,4,,,,,,,4
2016,Somalia,Uganda,3,1,,,,,,4
2016,South Africa,Uganda,552,842,,,,,,1394
2016,South Sudan,Uganda,2,1,,,,,,3
2016,Spain,Uganda,,5,,,,,,5
2016,Sudan,Uganda,3,,,,,,,3
2016,Swaziland,Uganda,6,1,,,,,,7
2016,Sweden,Uganda,639,116,,,,,,755
2016,Switzerland,Uganda,35,16,,,,,,51
2016,Turkey,Uganda,23,533,,,,,,556
2016,Uganda,Uganda,,,,,,,180000,180000
2016,Ukraine,Uganda,1,8,,,,,,9
2016,United Kingdom,Uganda,1115,177,,,,,,1292
2016,United States of America,Uganda,1268,1291,,,,,,2559
2016,Zambia,Uganda,105,1,,,,,,106
2016,Zimbabwe,Uganda,7,,,,,,1,8
2017,Angola,Uganda,6,6,,,,,,12
2017,Australia,Uganda,65,45,,,,,,110
2017,Austria,Uganda,23,21,,,,,,44
2017,Belgium,Uganda,20,10,,,,,,30
2017,Benin,Uganda,,*,,,,,,*
2017,Botswana,Uganda,21,,,,,,,21
2017,Brazil,Uganda,5,18,,,,,,23
2017,Bulgaria,Uganda,*,,,,,,,*
2017,Burundi,Uganda,7,,,,,,,7
2017,Cameroon,Uganda,*,,,,,,,*
2017,Canada,Uganda,541,189,,,,,,730
2017,Central African Rep.,Uganda,5,,,,,,,5
2017,China,Uganda,4,38,,,,,,42
2017,"China, Hong Kong SAR",Uganda,*,,,,,,,*
2017,Congo,Uganda,*,,,,,,*,*
2017,Croatia,Uganda,*,,,,,,,*
2017,Czech Rep.,Uganda,4,,,,,,,4
2017,Cote d'Ivoire,Uganda,,*,,,,,,*
2017,Dem. Rep. of the Congo,Uganda,25,4,,,,,,29
2017,Denmark,Uganda,75,30,,,,,,105
2017,Ecuador,Uganda,*,,,,,,,*
2017,Egypt,Uganda,10,18,,,,,,28
2017,Estonia,Uganda,,*,,,,,,*
2017,Ethiopia,Uganda,18,5,,,,,,23
2017,Finland,Uganda,27,8,,,,,,35
2017,France,Uganda,120,*,,,,,,123
2017,Germany,Uganda,160,292,,,,,,452
2017,Ghana,Uganda,5,*,,,,,,7
2017,Greece,Uganda,21,22,,,,,,43
2017,Grenada,Uganda,,*,,,,,,*
2017,Guinea,Uganda,*,,,,,,,*
2017,Hungary,Uganda,6,*,,,,,,7
2017,Iceland,Uganda,*,*,,,,,,*
2017,India,Uganda,,4,,,,,,4
2017,Indonesia,Uganda,*,*,,,,,,4
2017,Ireland,Uganda,42,12,,,,,,54
2017,Israel,Uganda,,26,,,,,,26
2017,Italy,Uganda,67,17,,,,,,84
2017,Japan,Uganda,,160,,,,,,160
2017,Jordan,Uganda,*,,,,,,,*
2017,Kenya,Uganda,626,1856,,,,,,2482
2017,Lesotho,Uganda,6,*,,,,,,7
2017,Liberia,Uganda,*,,,,,,,*
2017,Luxembourg,Uganda,*,,,,,,,*
2017,Malawi,Uganda,,8,,,,,,8
2017,Malaysia,Uganda,,12,,,,,,12
2017,Mexico,Uganda,,*,,,,,,*
2017,Mozambique,Uganda,7,15,,,,,,22
2017,Namibia,Uganda,5,10,,,,,,15
2017,Netherlands,Uganda,526,53,,,,,,579
2017,New Zealand,Uganda,*,,,,,,,*
2017,Norway,Uganda,119,6,,,,,,125
2017,Pakistan,Uganda,*,,,,,,,*
2017,Peru,Uganda,*,,,,,,,*
2017,Poland,Uganda,6,,,,,,,6
2017,Portugal,Uganda,*,,,,,,,*
2017,Rep. of Korea,Uganda,31,75,,,,,,106
2017,Rwanda,Uganda,4,,,,,,*,5
2017,Senegal,Uganda,,*,,,,,,*
2017,Slovakia,Uganda,4,,,,,,,4
2017,Somalia,Uganda,,*,,,,,,*
2017,South Africa,Uganda,549,4586,,,,,,5135
2017,South Sudan,Uganda,*,*,,,,,,*
2017,Spain,Uganda,*,5,,,,,,7
2017,Sudan,Uganda,*,,,,,,,*
2017,Swaziland,Uganda,6,*,,,,,,7
2017,Sweden,Uganda,669,98,,,,,,767
2017,Switzerland,Uganda,40,18,,,,,,58
2017,Turkey,Uganda,24,487,,,,,,511
2017,Uganda,Uganda,,,*,,,,180000,180002
2017,Ukraine,Uganda,*,4,,,,,,5
2017,United Arab Emirates,Uganda,*,,,,,,,*
2017,United Kingdom,Uganda,1156,163,,,,,,1319
2017,United States of America,Uganda,1301,1821,,,,,,3122
2017,Zambia,Uganda,21,,,,,,,21
2017,Zimbabwe,Uganda,8,*,,,,,*,13
